zip,lat,lon,city,state,precision
01952,42.85123,-70.86567,Salisbury,MA,coarse
01960,42.53700,-70.97365,Peabody,MA,coarse
01961,42.63544,-70.87912,Peabody,MA,coarse
01965,42.55811,-70.82574,Prides Crossing,MA,coarse
01966,42.65787,-70.61806,Rockport,MA,coarse
01969,42.71616,-70.89275,Rowley,MA,coarse
01970,42.51295,-70.90424,Salem,MA,coarse
01971,42.63544,-70.87912,Salem,MA,coarse
01982,42.62666,-70.85112,South Hamilton,MA,coarse
01983,42.66179,-70.95449,Topsfield,MA,coarse
01984,42.59769,-70.87320,Wenham,MA,coarse
01985,42.79414,-70.97107,West Newbury,MA,coarse
02018,41.97047,-70.70136,Accord,MA,coarse
02019,42.07650,-71.47046,Bellingham,MA,coarse
02020,42.08183,-70.64387,Brant Rock,MA,coarse
02021,42.17915,-71.12118,Canton,MA,coarse
02025,42.23394,-70.81583,Cohasset,MA,coarse
02026,42.24473,-71.18114,Dedham,MA,coarse
02027,42.18005,-71.08923,Dedham,MA,coarse
02030,42.23611,-71.28307,Dover,MA,coarse
02031,41.99880,-71.20089,East Mansfield,MA,coarse
02032,42.15379,-71.21455,East Walpole,MA,coarse
02035,42.06220,-71.23577,Foxboro,MA,coarse
02038,42.08868,-71.40481,Franklin,MA,coarse
02040,41.97047,-70.70136,Greenbush,MA,coarse
02041,42.06964,-70.64907,Green Harbor,MA,coarse
02043,42.21211,-70.88499,Hingham,MA,coarse
02044,41.97047,-70.70136,Hingham,MA,coarse
02045,42.28441,-70.87366,Hull,MA,coarse
02047,42.14284,-70.69353,Humarock,MA,coarse
02048,42.01318,-71.21837,Mansfield,MA,coarse
02050,42.11180,-70.71074,Marshfield,MA,coarse
02051,42.15120,-70.73415,Marshfield Hills,MA,coarse
02052,42.18127,-71.30993,Medfield,MA,coarse
02053,42.15628,-71.42766,Medway,MA,coarse
02054,42.16525,-71.36126,Millis,MA,coarse
02055,41.97047,-70.70136,Minot,MA,coarse
02056,42.11751,-71.33179,Norfolk,MA,coarse
02059,41.97047,-70.70136,North Marshfield,MA,coarse
02060,41.97047,-70.70136,North Scituate,MA,coarse
02061,42.15414,-70.82304,Norwell,MA,coarse
02062,42.18280,-71.19628,Norwood,MA,coarse
02065,42.09722,-70.65157,Ocean Bluff,MA,coarse
02066,42.20725,-70.77019,Scituate,MA,coarse
02067,42.10529,-71.18479,Sharon,MA,coarse
02070,42.18005,-71.08923,Sheldonville,MA,coarse
02071,42.10040,-71.27093,South Walpole,MA,coarse
02072,42.11842,-71.10573,Stoughton,MA,coarse
02081,42.14862,-71.25553,Walpole,MA,coarse
02090,42.22055,-71.19924,Westwood,MA,coarse
02093,42.05431,-71.37117,Wrentham,MA,coarse
02101,42.37057,-71.02696,Boston,MA,coarse
02102,42.33895,-70.91963,Boston,MA,coarse
02103,42.33895,-70.91963,Boston,MA,coarse
02104,42.33895,-70.91963,Boston,MA,coarse
02105,42.33895,-70.91963,Boston,MA,coarse
02106,42.35432,-71.07345,Boston,MA,coarse
02107,42.33895,-70.91963,Boston,MA,coarse
02108,42.35381,-71.10245,Boston,MA,coarse
02109,42.36003,-71.05450,Boston,MA,coarse
02110,42.35285,-71.05147,Boston,MA,coarse
02111,42.35105,-71.05936,Boston,MA,coarse
02112,42.33895,-70.91963,Boston,MA,coarse
02113,42.36540,-71.05500,Boston,MA,coarse
02114,42.36210,-71.02366,Boston,MA,coarse
02115,42.34204,-71.09685,Boston,MA,coarse
02116,42.34721,-71.08610,Boston,MA,coarse
02117,42.33895,-70.91963,Boston,MA,coarse
02118,42.33616,-71.07285,Boston,MA,coarse
02119,42.32308,-71.08461,Boston,MA,coarse
02120,42.33248,-71.09642,Boston,MA,coarse
02121,42.30710,-71.08164,Boston,MA,coarse
02122,42.29658,-71.05522,Boston,MA,coarse
02123,42.33895,-70.91963,Boston,MA,coarse
02124,42.28678,-71.07104,Boston,MA,coarse
02125,42.31476,-71.06724,Boston,MA,coarse
02126,42.30125,-71.10519,Mattapan,MA,coarse
02127,42.32902,-71.02034,Boston,MA,coarse
02128,42.36420,-71.02569,Boston,MA,coarse
02129,42.38259,-71.06529,Charlestown,MA,coarse
02130,42.30966,-71.12110,Jamaica Plain,MA,coarse
02131,42.28420,-71.12090,Roslindale,MA,coarse
02132,42.27790,-71.15583,West Roxbury,MA,coarse
02133,42.33895,-70.91963,Boston,MA,coarse
02134,42.35717,-71.11265,Allston,MA,coarse
02135,42.34977,-71.10489,Brighton,MA,coarse
02136,42.25425,-71.12932,Hyde Park,MA,coarse
02137,42.33895,-70.91963,Readville,MA,coarse
02138,42.38044,-71.13295,Cambridge,MA,coarse
02139,42.36515,-71.10184,Cambridge,MA,coarse
02140,42.39325,-71.13383,Cambridge,MA,coarse
02141,42.36867,-71.08360,Cambridge,MA,coarse
02142,42.36284,-71.08481,Cambridge,MA,coarse
